"id_vereda","vereda","corregimiento","total","nac_2000","nac_2001","nac_2002","nac_2003","nac_2004","nac_2005","nac_2006","nac_2007","nac_2008","nac_2009","nac_2010","nac_2011","nac_2012","nac_2013","nac_2014","nac_2015","nac_2016","nac_2017"
"5304","La Viga","Pance","565","33","27","46","37","40","43","34","29","40","26","33","20","29","21","26","18","14","10"
"6599","Sector Geográfico Tres Cruces","Golondrinas","218","9","11","15","13","12","9","16","14","9","12","8","6","9","14","14","18","12","12"
"5406","La Riverita","La Buitrera","136","7","12","9","12","10","13","9","10","10","4","3","6","6","7","2","1","1","5"
"5411","Parque La Bandera","La Buitrera","79","9","5","6","4","4","5","8","5","1","3","1","5","4","2","1","5","1","3"
"5612","Brisas de los Cristales","Los Andes","77","3","2","4","1","1","3","5","3","2","4","4","6","3","5","6","7","8","7"
"5609","Mameyal","Los Andes","9","1","0","0","0","1","1","0","1","0","3","0","0","0","0","0","0","0","2"
"5403","Bella Suiza","La Buitrera","7","0","2","0","0","0","0","0","1","0","0","0","1","0","0","0","2","1","0"
"5205","Cascajal","El Hormiguero","3","0","0","0","0","0","0","0","0","0","0","1","0","2","0","0","0","0","0"
"5405","La Luisa","La Buitrera","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"5496","Club Campestre","La Buitrera","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
